"n_per_arm","n_total","power","power_LCI","power_UCI"
20,40,0.484,0.439495928626853,0.528753598809658
40,80,0.826,0.789251919598009,0.857628402492515
60,120,0.936,0.909903397019041,0.955143115561107
80,160,0.984,0.967444298421582,0.99254156287677
100,200,0.994,0.981048192960821,0.998449145785092
